,0
0,10.0
1,9.0
2,11.0
3,9.0
4,11.0
5,10.0
6,8.0
7,9.0
8,13.0
9,10.0
10,9.0
11,10.0
12,12.0
13,12.0
14,10.0
15,9.0
16,8.0
17,11.0
18,9.0
19,11.0
20,12.0
21,10.0
22,9.0
23,12.0
24,9.0
25,10.0
26,10.0
27,11.0
28,12.0
29,9.0
30,11.0
31,10.0
32,10.0
33,9.0
34,9.0
35,10.0
36,9.0
37,10.0
38,10.0
39,10.0
40,11.0
41,36.0
42,29.0
43,32.0
44,33.0
45,63.0
46,57.0
47,51.0
48,123.0
49,114.0
50,138.0
51,69.0
52,87.0
53,75.0
54,49.0
55,48.0
56,47.0
57,47.0
58,35.0
59,77.0
60,71.0
61,90.0
62,42.0
63,48.0
64,54.0
65,102.0
66,55.0
67,158.0
68,235.0
69,76.0
70,83.0
71,98.0
72,80.0
73,94.0
74,52.0
75,224.0
76,267.0
77,65.0
78,146.0
79,69.0
80,351.0
81,43.0
82,96.0
83,50.0
84,171.0
85,237.0
86,76.0
87,62.0
88,132.0
89,308.0
90,39.0
91,47.0
92,202.0
93,96.0
94,127.0
95,86.0
96,178.0
97,56.0
98,63.0
99,141.0
100,148.0
101,59.0
102,59.0
103,66.0
104,159.0
105,77.0
106,68.0
107,57.0
108,39.0
109,141.0
110,51.0
111,53.0
112,122.0
113,168.0
114,100.0
115,107.0
116,53.0
117,62.0
118,136.0
119,123.0
120,146.0
121,159.0
122,67.0
123,52.0
124,53.0
125,46.0
126,175.0
127,99.0
128,214.0
129,26.0
130,33.0
131,178.0
132,207.0
133,209.0
134,231.0
135,210.0
136,185.0
137,19.0
138,239.0
139,209.0
140,220.0
141,402.0
142,500.0
143,247.0
144,256.0
145,416.0
146,500.0
147,13.0
148,450.0
149,183.0
150,430.0
151,500.0
152,432.0
153,45.0
154,104.0
155,276.0
156,500.0
157,128.0
158,125.0
159,127.0
160,500.0
161,500.0
162,500.0
163,159.0
164,58.0
165,136.0
166,500.0
167,148.0
168,500.0
169,500.0
170,204.0
171,177.0
172,500.0
173,131.0
174,54.0
175,187.0
176,500.0
177,500.0
178,209.0
179,446.0
180,267.0
181,102.0
182,500.0
183,377.0
184,233.0
185,90.0
186,335.0
187,500.0
188,335.0
189,356.0
190,171.0
191,500.0
192,500.0
193,61.0
