,0
0,10.0
1,9.0
2,8.0
3,9.0
4,10.0
5,9.0
6,11.0
7,8.0
8,11.0
9,12.0
10,10.0
11,10.0
12,11.0
13,13.0
14,15.0
15,14.0
16,10.0
17,9.0
18,9.0
19,11.0
20,14.0
21,14.0
22,11.0
23,16.0
24,12.0
25,13.0
26,11.0
27,9.0
28,12.0
29,10.0
30,8.0
31,10.0
32,11.0
33,13.0
34,12.0
35,10.0
36,16.0
37,18.0
38,15.0
39,12.0
40,17.0
41,19.0
42,18.0
43,14.0
44,13.0
45,17.0
46,16.0
47,13.0
48,19.0
49,11.0
50,12.0
51,12.0
52,17.0
53,16.0
54,9.0
55,21.0
56,17.0
57,18.0
58,13.0
59,12.0
60,14.0
61,14.0
62,11.0
63,15.0
64,18.0
65,21.0
66,18.0
67,15.0
68,20.0
69,15.0
70,17.0
71,16.0
72,20.0
73,16.0
74,20.0
75,23.0
76,23.0
77,20.0
78,23.0
79,27.0
80,19.0
81,23.0
82,27.0
83,36.0
84,18.0
85,13.0
86,17.0
87,83.0
88,16.0
89,14.0
90,34.0
91,43.0
92,14.0
93,26.0
94,21.0
95,25.0
96,20.0
97,26.0
98,42.0
99,21.0
100,42.0
101,23.0
102,29.0
103,31.0
104,44.0
105,57.0
106,28.0
107,37.0
108,11.0
109,21.0
110,39.0
111,43.0
112,25.0
113,48.0
114,20.0
115,40.0
116,43.0
117,42.0
118,51.0
119,29.0
120,58.0
121,137.0
122,139.0
123,153.0
124,222.0
125,218.0
126,189.0
127,191.0
128,238.0
129,226.0
130,216.0
131,273.0
132,80.0
133,240.0
134,230.0
135,259.0
136,232.0
137,213.0
138,171.0
139,257.0
140,219.0
141,43.0
142,252.0
143,234.0
144,19.0
145,211.0
146,178.0
147,193.0
148,217.0
149,302.0
150,249.0
151,238.0
152,262.0
153,182.0
154,183.0
155,237.0
156,251.0
157,201.0
158,306.0
159,204.0
160,182.0
161,208.0
162,154.0
163,166.0
164,146.0
165,152.0
166,165.0
167,161.0
168,186.0
169,49.0
170,180.0
171,137.0
172,143.0
173,215.0
174,146.0
175,185.0
176,162.0
177,158.0
178,173.0
179,23.0
180,161.0
181,191.0
182,229.0
183,191.0
184,180.0
185,169.0
186,189.0
187,159.0
188,155.0
189,171.0
190,172.0
191,172.0
192,164.0
193,184.0
194,195.0
195,181.0
196,189.0
197,29.0
198,60.0
199,152.0
200,170.0
201,170.0
202,175.0
203,158.0
204,58.0
205,37.0
206,167.0
207,166.0
208,178.0
209,37.0
210,177.0
211,167.0
212,159.0
213,44.0
214,160.0
215,52.0
216,55.0
217,104.0
218,28.0
219,184.0
220,52.0
221,148.0
222,147.0
223,165.0
224,211.0
225,166.0
226,22.0
227,156.0
228,181.0
229,23.0
230,170.0
231,22.0
232,183.0
233,170.0
234,168.0
235,43.0
236,157.0
237,177.0
238,180.0
239,165.0
240,155.0
241,160.0
242,164.0
243,357.0
244,500.0
245,197.0
246,225.0
247,168.0
248,159.0
249,140.0
250,156.0
251,147.0
252,188.0
253,154.0
254,158.0
255,422.0
256,271.0
257,154.0
258,295.0
259,292.0
260,138.0
261,321.0
262,167.0
263,177.0
264,149.0
265,137.0
266,183.0
267,271.0
268,172.0
269,154.0
270,269.0
271,213.0
272,222.0
273,168.0
274,156.0
275,166.0
276,235.0
277,185.0
278,230.0
279,152.0
280,65.0
281,82.0
282,149.0
283,145.0
284,148.0
285,140.0
286,207.0
287,182.0
288,128.0
289,164.0
290,500.0
291,217.0
292,372.0
293,160.0
294,25.0
295,48.0
296,329.0
297,217.0
298,153.0
299,190.0
