,0
532,157.0
533,191.0
534,14.0
535,161.0
536,157.0
537,15.0
538,151.0
539,158.0
540,157.0
541,131.0
542,261.0
543,269.0
544,398.0
545,14.0
546,485.0
547,11.0
548,148.0
549,184.0
550,434.0
551,139.0
552,151.0
553,137.0
554,208.0
555,162.0
556,429.0
557,16.0
558,155.0
559,346.0
560,139.0
561,135.0
562,289.0
563,270.0
564,131.0
565,13.0
566,124.0
567,10.0
568,128.0
569,128.0
570,12.0
571,134.0
572,258.0
573,133.0
574,125.0
575,17.0
576,11.0
577,125.0
578,40.0
579,130.0
580,13.0
581,131.0
582,207.0
583,397.0
584,136.0
585,133.0
586,244.0
587,500.0
588,121.0
589,500.0
590,500.0
591,13.0
592,126.0
593,241.0
594,86.0
595,14.0
596,131.0
597,207.0
598,181.0
599,129.0
